guna_word;spanish_word;synonyms
Magaddagged;Orinar;
Winnaed;Orinar;
Mageb;Colorante rojo de plantas;Uso ceremonial, , , , 
Maged;Pintar;Colorear, , , , 
Maggi;Crudo;
Aigwale;Amistad;Amistoso, , , , 
Maggimaggi;Medio crudo;
Maggu;Espuma;Burbujas, , , , 
Magiddoged;Entender;Comprender, , , , 
Magumagu;Algo con manchas blanquesinas;
Mai;Acostado. Jornalero;Empleado, Verbo de acostar 
Mali;Pie;Pata, Soporte, Raíz, , 
Nag;Pie;Pata, , , , 
Naga;Pie;Pata, , , , 
Mama;Yuca;Mandioca, Ubre, Teta, Seno, 
Mammar;arbol de matal palo o higuerote ;Arbol, , , , 
Ayagwale;Amistad;Amistoso, , , , 
Mammi;Mamey;
Mamnued;Mamar;Lactarse, , , , 
Nued;Mamar;Lactarse, , , , 
Mandiburwa;Viento del oeste;
Mani;Dinero;Plata, , , , 
Manibibbigwad;Barato;Económico, Módico, , , 
Manisibu;Huevo de gallina;
Nuusaa;Huevo de gallina;
Ganniraggwa;Huevo de gallina;
Mar;Rayo;Replámpago, , , , 
Aileged;Amistarse;Hacer amigos, , , , 
Mala;Rayo;Relampago, , , , 
Mardo;Martillo;
Mared;Romper;Gramentar, partir, , , 
Margoled;Tronar;Trueno, , , , 
Marmai;Resquebrajarse;Agrientándose, , , , 
Marya;Guama o guaba ;planta nativa
Masar;Caña blanca;
Masarigar;Tratado de guia después de la muerte;
Masarnagbe;Serpiente coral;
Masarnii;Junio;
Ayaleged;Amistarse;Hacer amigos, , , , 
Masarwar;Caña blanca;
Masdibyaled;Fritura;Plátano frito, Patacón, , , 
Masdued;Cocinar;Cocinero, , , , 
Masgan;Platanal;
Masge;Tenaza de asar plátanos;
Masgunned;Comer;Almorzar, Cenar, , , 
Masi;Comida;Guineo, Alimento, , , 
Masimasi;Resbaloso;
Swanswan;Resbaloso;
Gwaregware;Resbaloso;
Aimagged;Picazón;Sarpullido, Comezón, , , 
Masmuu;Cepa deguineo o Plátano;
Masolliggwa;Sopa espesa;
Massabbin;Muchacho;Adolescente, , , , 
Massadde;Plátano o guineo asado;
Massered;Varón o anciano ;viejo 
Massi;Hijo;Joven, , , , 
Massibibbi;Chiquillo;muchacho, , , , 
Massigwa;Adolescente;Joven, , , , 
Massunnad;Plátano;
Medde;Tinaja;De verbo tirar
Uggaaimagged;Picazón;Comezón, Sarpullido, , , 
Medgo;Pedazo de tinaja;
Meddegoa;Pedazo de tinaja;
Meged;Acostarse;Extenderse, Recostarse, , , 
Melu;Cuántos;
Bigwa;Cuántos;
Bule melu;Cuántos?;
Melubaa;Suficiente;Bastante, Considerable, , , 
Unni;Suficiente;
Unnidba;Suficiente;
Unniddiba;Suficiente;
Aisabed;Viruela;Amigo muy íntimo o íntima, , , , 
Memmed;Coa;
Memmermagged;Ondear;
Mer;No;Negación, , , , 
Melle;No;
